0,"Total Unemployment Rate, (SA)","Resident Unemployment Rate, (SA)","Citizen Unemployment Rate, (SA)",Household Net Worth,    Assets,        Financial Assets,            Currency & Deposits,            Shares & Securities,                Listed Shares,                Unlisted Shares,                Unit Trusts & Investment Funds,            Life Insurance,            Central Provident Fund (CPF),            Pension Funds,        Residential Property Assets,            Public Housing,            Private Housing,    Liabilities,        Mortgage Loans,            Financial Institutions,            Housing & Development Board (HDB),        Personal Loans,            Motor Vehicle,            Credit/Charge Cards,            Others,0,GDP In Chained (2015) Dollars,    Goods Producing Industries,        Manufacturing,        Construction,        Utilities,        Other Goods Industries,    Services Producing Industries,        Wholesale & Retail Trade,            Wholesale Trade,            Retail Trade,        Transportation & Storage,        Accommodation & Food Services,            Accommodation,            Food & Beverage Services,        Information & Communications,        Finance & Insurance,"        Real Estate, Professional Services And Administrative & Support Services",            Real Estate,            Professional Services,            Administrative & Support Services,        Other Services Industries,            Public Administration & Defence,            Education,            Health & Social Services,"            Arts, Entertainment & Recreation",            Other Services - Others,    Ownership Of Dwellings,    Gross Value Added At Basic Prices,    Add: Taxes On Products
20194Q,2.2,3.2,3.2,1998097.3,2337418.2,1355997.9,475911.7,220509.4,90485.5,31089.8,98934.1,217602.1,425110.2,16864.5,981420.3,425696.5,555723.8,339320.9,243111.2,202765.5,40345.7,96209.7,11203.8,12626.2,72379.7,0,122407.5,29078.8,22649.5,4931.3,1489.4,39.6,80209.2,18024,16109.6,1887.4,8476.8,2312.6,1028.9,1285.2,5739.6,16056.3,17005.3,4302.9,7643.4,5081.9,12587.4,2904.7,3440.8,3096.1,1563.4,1590.3,5473.1,114659.3,7784.4
20193Q,2.2,3.1,3.2,1945769.1,2284216.3,1312298.6,466414.1,204066,87630.8,30844.1,85591.1,207507.1,417482.9,16828.5,971917.6,423738.9,548178.7,338447.2,243503.3,203296.2,40207.1,94943.9,11285.9,12053.5,71604.5,0,120494.4,29954,23667.5,4702.7,1504.5,42.1,78031.2,17429.4,15607,1788.8,8307.3,2400,1065.3,1336.2,5641.7,15297.3,16462.1,4258.8,6930.5,5283.1,12519.9,2794.1,3480.3,3128.9,1516.6,1612.4,5423.6,113293.9,7161.2
20192Q,2.3,3.2,3.3,1913684.3,2253573,1296945.9,461905.5,208221.7,90674.7,31675.2,85871.9,200664.7,409361.5,16792.5,956627.1,417951.7,538675.4,339888.7,244347.1,204185.9,40161.2,95541.6,11320.6,12071.3,72149.6,0,120168.5,29926.8,23650.6,4710.3,1492.7,36.6,77668.2,17615.3,15783.4,1795.4,8296.6,2316.4,984.7,1332.2,5502.5,15344.9,16183.6,4239.8,6846.1,5114.2,12370.6,2842.3,3437.6,3037.3,1448.5,1610.9,5382.8,112867,7283.5
20191Q,2.2,3.1,3.3,1870684.1,2213274.8,1264247,455015.2,197449.6,89190.7,31406.3,76852.7,194129,400875.5,16777.6,949027.8,418764.1,530263.7,342590.7,245584.1,205280.2,40303.9,97006.6,11203.4,11744.9,74058.3,0,117965,29014.6,22529.7,5044.4,1451.6,37.7,76238.5,17345.3,15445.7,1888.5,8080.7,2398.1,1022.8,1375.8,5153,14862.5,15745.4,4301.7,6730.9,4748.6,12589.1,2971.2,3433.5,3015.8,1581.6,1590.5,5346.2,110476.6,7527.1
20184Q,2.2,3,3.1,1825181.2,2169731.7,1222766.2,440065,189931.9,85561.7,31460.5,72909.7,184898.2,391117.5,16753.5,946965.5,420062,526903.5,344550.4,246616.6,206192.4,40424.2,97933.8,11097.7,12289.5,74546.7,0,120492,30068.2,23598.8,4951.6,1468.7,37.7,78031.1,18265.5,16250.8,2006.2,8310.4,2405.8,1032.3,1374.3,5047.2,14600.9,17170.5,4297.2,7079.3,5782.6,12153.8,2808.8,3415.1,2991,1397.8,1544.1,5257.9,113290.8,7180.6
20183Q,2.1,2.8,3,1823899.1,2168119.5,1219584.3,433988.1,199496.8,89962.5,31582.4,77952,185439,383965,16695.4,948535.2,421013.9,527521.3,344220.5,245939.3,205753.6,40185.7,98281.2,10961,11791.3,75528.9,0,119638.5,30259.8,23965.8,4737.3,1491.3,38.3,77167.1,17572.6,15702.2,1848.6,8339,2437.2,1095.8,1343.2,4927.7,14388.7,17360.9,4354.3,6499,6471.7,12168.7,2710.4,3480.1,3000.9,1467.8,1516.6,5210.6,112545.7,7069.3
20182Q,2.1,2.9,3,1810882.9,2154544.8,1212424.2,433096.3,205547.4,89991.2,31603.3,83952.9,180507.9,376635.4,16637.2,942120.6,422192.2,519928.4,343661.9,245206.1,204922.6,40283.5,98455.8,10850.3,11635.9,75969.5,0,118541.5,29937.4,23764.6,4615.9,1491,35.5,76125.6,17227.9,15344.8,1871.7,8263.8,2310.4,1018.3,1293.4,4771.8,14307.2,17231,4244.9,6402.3,6537.8,12062.5,2823.6,3464,2942.1,1331.1,1499.7,5165.2,111130,7408.9
20181Q,2.1,2.9,3,1775409.9,2118140.1,1200736.5,427806.6,210837.2,95659.3,31674.2,83503.7,177025.9,368453.7,16613.1,917403.6,418852.4,498551.2,342730.2,244165.2,203518.4,40646.8,98565,10515.7,11344.5,76704.7,0,116152.5,28938.3,22533.9,4954.5,1417.3,34.4,74915.5,16665.1,14774,1894,8201.6,2321.7,998.6,1323.8,4644.4,14166.1,16640.7,4073.9,6373.1,6153.7,12357.9,2860.5,3454.6,2904.6,1655.9,1484.3,5103.6,108882,7268.3
20174Q,2.1,2.9,3,1734730.7,2075155,1180615,419107.5,208123.3,95053.8,31746.1,81323.4,177313.5,359514.6,16556.1,894540.1,421000.6,473539.5,340424.3,242508.8,202116.3,40392.5,97915.5,10441.9,11624.9,75848.6,0,118665.1,29020.5,22564.9,4942.5,1482.5,34.4,76672.9,18166.9,16156,2005.4,8362.1,2306.2,973.3,1333.3,4587.3,14108.3,17127.2,4232.8,6700.7,6162,11973.1,2759.6,3359.7,2872.6,1498.5,1483.6,5032.6,110698.8,7990.1
20173Q,2.1,3.1,3.2,1705223.2,2039745.1,1152762.6,413473.9,200770.9,90556.5,31670.1,78544.3,169014.4,353085.1,16418.4,886982.5,420977.5,466005,334522,238674.3,198945.9,39728.4,95847.6,10123.7,11006.5,74717.5,0,116062.4,29366.7,23163.1,4664.4,1507.2,38.8,74710.7,16797.7,14962.1,1827.7,8245.6,2332,1004.5,1328.2,4611.4,13828.9,17022.5,4230.6,6442.8,6316.3,11934,2683.5,3419,2933.2,1425.7,1476.3,4962.8,108968.9,7084.7
20172Q,2.2,3.1,3.3,1682447.3,2012412.8,1136981.6,411532.2,198161.5,90317.8,31486.6,76357.1,165295.7,345711.5,16280.7,875431.2,418072.8,457358.4,329965.5,236182.5,196781.2,39401.3,93783,9999,11176.7,72607.3,0,113218.7,27599.2,21489.4,4607.5,1473.4,34,73725.1,16488.1,14656.3,1827.6,8176.2,2216.2,933.8,1282.7,4644.6,13477.5,16861.3,4274.9,6360.7,6198.9,11933.4,2781.1,3367.3,2860.3,1458.4,1466.9,4917,106220.3,6993.4
20171Q,2.3,3.3,3.5,1658881.3,1985339.9,1115664.4,407974.7,193691.9,90378.8,31303.2,72009.9,159794.2,337980,16223.7,869675.4,415056.8,454618.6,326458.6,234648,195110.3,39537.7,91810.6,9777.2,10872.2,71161.2,0,111034.4,26873.9,20481.6,4921.3,1437.8,34.3,72053.4,16324.9,14431.7,1898.6,8000.2,2303.8,950.8,1352.9,4558.5,12857.9,16057.7,4166.7,6124.6,5748.5,11993.5,2821.2,3432,2876.7,1409.1,1454.7,4877,103781.7,7265.6
